id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
99,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,6,22,9,10,1,be.thibber.gamification.vehicle.Car,CarTest.testCarCreationOneParam,0,2025-04-17 07:55:07.960623
100,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,7,22,10,10,1,be.thibber.gamification.vehicle.Car,CarTest.testCarCreationOneParam,0,2025-04-17 07:55:28.596863
101,465777bf-b8f8-4dbe-b99e-7e1c208be8dc,1,1,8,7,14,10,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:55:33.008488
102,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,8,22,11,10,1,be.thibber.gamification.vehicle.Car,CarTest.testCarCreationOneParam,0,2025-04-17 07:55:37.951900
103,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:56:29.548544
104,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,7,22,10,10,1,be.thibber.gamification.vehicle.Car,CarTest.testCarSetSeatsCount,0,2025-04-17 07:56:39.876282
105,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:57:01.798231
106,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:57:14.333903
107,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,6,22,9,10,1,be.thibber.gamification.vehicle.Car,CarTest.testCarSetSeatNegative,0,2025-04-17 07:57:18.408926
108,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:57:22.552163
