user,group,session,timestamp,sourceFile,survived,killed,mutants_count,game_mode
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,1,2025-04-17 09:24:12.395000+02:00,Person.java,0,2,2,leaderboard
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,1,2025-04-17 09:24:12.395000+02:00,PolyLine.java,17,3,20,leaderboard
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,1,2025-04-17 09:24:12.395000+02:00,Road.java,1,2,3,leaderboard
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,1,2025-04-17 09:24:12.395000+02:00,Vehicle.java,2,13,15,leaderboard
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,Building.java,8,0,8,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,Car.java,5,8,13,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,City.java,22,0,22,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,Coords.java,15,0,15,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,House.java,2,0,2,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,Parking.java,16,0,16,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,Person.java,0,2,2,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,PolyLine.java,17,3,20,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,Road.java,1,2,3,achievements
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,2025-04-17 10:05:04.790000+02:00,Vehicle.java,2,13,15,achievements
a7c1124d-d4fc-4fc7-bb6f-b73e2f1b7fdd,A,1,2025-04-17 09:30:06.028000+02:00,Building.java,8,0,8,achievements
